22
1440 4 32511 32191 32960 32537 ; 燃柳
1435 4 32512 32537 32960 33023 ; 古魯丁
1445 4 32512 33023 32960 33535 ; 風木
1432 4 32960 32191 33216 32511 ; 迷幻森林
1438 4 32960 32511 33280 33023 ; 肯特
1438 4 33088 33023 33280 33087 ; 肯特
1442 4 32960 33023 33088 33087 ; 銀騎士
1442 4 32959 33087 33280 33535 ; 銀騎士
1431 4 33216 32191 33472 32511 ; 龍之谷
1439 4 33472 32191 33856 32511 ; 威頓
1439 4 33536 32511 33856 32575 ; 威頓
1434 4 33280 32511 33536 33023 ; 奇岩
1434 4 33536 32575 33920 33023 ; 奇岩
1436 4 33280 33023 33792 33535 ; 海音
1441 4 33856 32191 33920 32575 ; 歐瑞
1441 4 33920 32127 34304 32739 ; 歐瑞
1430 4 33920 32739 34304 33023 ; 亞丁
1430 4 33792 33023 34304 33535 ; 亞丁
1433 70 0 0 0 0 ; 遺忘之島	
1437 69 0 0 0 0 ; 隱藏之谷
1443 68 0 0 0 0 ; 歌唱之島
1444 0 0 0 0 0 ; 說話之島
